sigma,t,phi_s
0.4633165829145729,14.120603015075378,-3.4543386301578645
0.464321608040201,14.120603015075378,-3.478853550812613
0.4653266331658292,14.120603015075378,-3.5038685996220362
0.4663316582914573,14.120603015075378,-3.529399150901962
0.46733668341708545,14.120603015075378,-3.555460647671663
0.46834170854271356,14.120603015075378,-3.582068465159136
0.46934673366834173,14.120603015075378,-3.6092377359962966
0.47035175879396984,14.120603015075378,-3.6369831280584686
0.471356783919598,14.120603015075378,-3.665318563854968
0.4723618090452262,14.120603015075378,-3.694256867894789
0.4733668341708543,14.120603015075378,-3.723809325460571
0.4743718592964824,14.120603015075378,-3.753985132652134
0.47537688442211057,14.120603015075378,-3.784790713345927
0.47638190954773874,14.120603015075378,-3.8162288738248336
0.47738693467336685,14.120603015075378,-3.848297760287924
0.47839195979899496,14.120603015075378,-3.8809895783812456
0.4793969849246231,14.120603015075378,-3.9142890276073814
0.4804020100502513,14.120603015075378,-3.948171397572618
0.4814070351758794,14.120603015075378,-3.98260026856886
0.4824120603015075,14.120603015075378,-4.017524757695698
0.4834170854271357,14.120603015075378,-4.052876256319015
0.48442211055276385,14.120603015075378,-4.0885646191917955
0.48542713567839196,14.120603015075378,-4.124473795804237
0.48643216080402013,14.120603015075378,-4.1604569482326905
0.48743718592964824,14.120603015075378,-4.196331186507295
0.4884422110552764,14.120603015075378,-4.231872182721184
0.4894472361809045,14.120603015075378,-4.266809107318516
0.4904522613065327,14.120603015075378,-4.3008205666638
0.4914572864321608,14.120603015075378,-4.333532495733505
0.49246231155778897,14.120603015075378,-4.364519231536398
0.4934673366834171,14.120603015075378,-4.393309179949686
0.49447236180904525,14.120603015075378,-4.419396465330985
0.49547738693467336,14.120603015075378,-4.442259565337401
0.4964824120603015,14.120603015075378,-4.461387054070616
0.4974874371859297,14.120603015075378,-4.476309190728115
0.4984924623115578,14.120603015075378,-4.486632399249868
0.4994974874371859,14.120603015075378,-4.492072145755405
0.5005025125628141,14.120603015075378,-4.492478954120231
0.5015075376884423,14.120603015075378,-4.48785282434744
0.5025125628140703,14.120603015075378,-4.478343232567684
0.5035175879396985,14.120603015075378,-4.464234712667466
0.5045226130653266,14.120603015075378,-4.445920840712683
